cluster_id,persona_name,size,percentage,high_satisfaction_rate,sentiment_positive,sentiment_neutral,sentiment_negative,avg_text_length,avg_word_count,top_brands,top_terms
0,Makeup & General Enthusiasts,27608,0.27608,0.8438858301941466,0.8438858301941466,0.06288032454361055,0.09323384526224283,262.8340336134454,49.63416401043176,"CLINIQUE, Tatcha, fresh","love, face, makeup, product, great, skin, like, use, love love, really"
1,Daily Skincare Users,40467,0.40467,0.7687992685397979,0.7687992685397979,0.09494155731830875,0.1362591741418934,362.4287691205179,68.17065757283713,"CLINIQUE, The Ordinary, Drunk Elephant","skin, product, using, use, ve, really, like, used, great, face"
2,Moisture & Texture Fans,17495,0.17495,0.8785367247785082,0.8785367247785082,0.06178908259502715,0.05967419262646471,352.73575307230635,66.18073735352958,"Tatcha, CLINIQUE, belif","skin, moisturizer, feels, oily, dry, cream, like, dry skin, face, great"
3,Acne & Blemish Care,9926,0.09926,0.8590570219625226,0.8590570219625226,0.05671972597219424,0.0842232520652831,403.2424944589966,75.28107999194036,"The Ordinary, Murad, Drunk Elephant","acne, serum, skin, prone, acne prone, product, prone skin, using, use, love"
4,Lip Care Seekers,4504,0.04504,0.838809946714032,0.838809946714032,0.06127886323268206,0.09991119005328597,295.7158081705151,56.70559502664298,"LANEIGE, Rosebud Perfume Co., fresh","lips, lip, balm, lip balm, love, product, chapped, mask, dry, lip mask"
